"id","language","last_import_id","title"
"1703270","61435","BTM:HOTEL:1H0142:2723db64324377958dfc77c1781fbc29","Sylter Hof Berlin"
"1703306","61435","BTM:HOTEL:1H0147:0c8fba1d8e901819797664ef0a470a38","ibis Styles Berlin an der Oper"
"1703306","1309886","BTM:HOTEL:1H0147:3e419f8e6d5effd10127889f630d5a26","Comfort Hotel an der Oper"
"1703344","61435","BTM:HOTEL:1H0175:024751536911fbea9e6ec81a67581b4e","Berlin Mark Hotel"
"1703344","1309886","BTM:HOTEL:1H0175:e3b3d051b39e6859c435fce854c3ce77","Berlin Mark Hotel"
"1703379","1309886","BTM:HOTEL:1H0177:03405a31d002b8c1cc11dced121ecdad","Berlin Plaza Hotel am Kurfürstendamm"
"1703379","61435","BTM:HOTEL:1H0177:7a7a4d1ce8b965cefb68d5d2f49853dc","Berlin Plaza Hotel am Kurfürstendamm"
"1703416","1309886","BTM:HOTEL:1H0205:edfdc5262d97c088b7ab756e7f5d0200","Hotel St.-Michaels-Heim"
"1703416","61435","BTM:HOTEL:1H0205:eede2403b69900702a3f03e1e45e77de","Hotel St.-Michaels-Heim"
"1703453","1309886","BTM:HOTEL:1H0243:7535a81b404f715fa53a7d0dc14a45e2","Hotel Villa Kastania"
"1703453","61435","BTM:HOTEL:1H0243:d6601f9132d25f5eff56f4f3ba6736be","Hotel Villa Kastania"
"1703491","1309886","BTM:HOTEL:1H0264:349684830d2e97e6c83198be285468be","Alma Schlosshotel im Grunewald"
"1703491","61435","BTM:HOTEL:1H0264:de5bc207014d147ff5ea63dc50a4608c","Alma Schlosshotel im Grunewald"
"1703526","61435","BTM:HOTEL:1H0329:d99774b5b734d4e06d597a8b97defcaf","Pullman Berlin Schweizerhof"
"1703526","1309886","BTM:HOTEL:1H0329:f69dfa66a11056dfae7ff09145997c5a","Pullman Berlin Schweizerhof"
"1703561","61435","BTM:HOTEL:1H0361:ad21c25e24546b0d60a74f9f57e46293","Domicil Berlin"
"1703561","1309886","BTM:HOTEL:1H0361:cc823fd504d55b23a1776aa0e9186bab","Domicil Berlin"
"1703596","61435","BTM:HOTEL:1H0372:1c4c7786bc42565d1e3c556993f2d28d","Grand Hyatt Berlin"
"1703596","1309886","BTM:HOTEL:1H0372:c0bba7ebdc5bbbee00208772567f59ca","Grand Hyatt Berlin"
"1703632","1309886","BTM:HOTEL:1H0382:6605c1b4b6eebce2b01d97e6a37d4a8e","Park Inn Berlin City-West"
"1703632","61435","BTM:HOTEL:1H0382:be14d7fb6737d1de42f7fa1b478695ae","Park Inn Berlin City-West"
"1703667","1309886","BTM:HOTEL:1H0389:2f924e773fef7028c62fd61429d069a5","Hollywood Media Hotel"
"1703667","61435","BTM:HOTEL:1H0389:3a18164aa80842bfc1bc43d4c865846c","Hollywood Media Hotel"
