"id","language","last_import_id","title"
"1642186","61435","Tip:Filemaker:14032:571231d9f0bd2e85cb1417ad2b85d4c4","Savo"
"1642507","61435","Tip:Filemaker:14033:1a90e027918e1ab2944a3823db1d4a4b","Schwarze Pumpe"
"1685352","61435","Tip:Filemaker:14034:64c7b052913c7f6afe42ed824d77ca3c","Senti"
"1686215","61435","Tip:Filemaker:14037:64623f1d463be741fc7e0719983d9603","Uebereck"
"1645107","61435","Tip:Filemaker:14038:dc6fbaff56e59c50ce434fbf102b3f7a","Übersee"
"1645296","61435","Tip:Filemaker:14039:61688c44e37f3244ba256d86007e1453","Van Loon"
"1624008","61435","Tip:Filemaker:14044:f7cc232a7ed589df1b1b7a220e0a3c27","Alt Luxemburg"
"1624124","61435","Tip:Filemaker:14047:864eb760c17ec7b290ca2842c310d596","Altes Zollhaus"
"1684068","61435","Tip:Filemaker:14049:0359af7f06ea1596927ed9ea07890c5f","Osteria Caruso"
"1679972","61435","Tip:Filemaker:14050:b1d8a8ed6bbb2b2de2caf2f7aa221daa","Blockhaus Nikolskoe"
"1626796","61435","Tip:Filemaker:14051:d069d9037a6a10f947a55db2d99831cd","Britzer Mühle"
"1636849","61435","Tip:Filemaker:14057:1a4269cf24579f397c7874ecfccc5065","Mädchen ohne Abitur"
"1640765","61435","Tip:Filemaker:14058:ac378fbed8f3505c524dfa30c9e2d385","Restaurant Diekmann"
"1681846","61435","Tip:Filemaker:14061:97a5241c428aa19873ba636b4714b242","Gambrinus"
"1631769","61435","Tip:Filemaker:14064:31cd87215747cd150c83b09b1b7d1fb0","Gasthaus Lentz"
"1632878","61435","Tip:Filemaker:14070:9d0b8487b0398b9b251051bbe235a042","Henne"
"1634366","61435","Tip:Filemaker:14073:dd40987827027a4886d51cda425d58a1","Kellerrestaurant im Brecht-Haus"
"1642711","61435","Tip:Filemaker:14075:7f2cc0c038f2ace65bf532038221da58","Serene Bar"
"1636628","61435","Tip:Filemaker:14080:694c33a1481c84415b0abb4e903f6c41","Luise"
"1636715","61435","Tip:Filemaker:14081:13eca9d9260e28fb722697026ed9b2e3","Lutter & Wegner seit 1811"
"1637413","61435","Tip:Filemaker:14082:5a043a862416bb3141745ce21b604def","Marjellchen"
"1683915","61435","Tip:Filemaker:14086:78c1eb72630844833b070a0b60f05391","Neu-Helgoland"
"1623519","61435","Tip:Filemaker:14087:3b9131e23d246deb1e0366c755fb10b6","7000"
"1640605","61435","Tip:Filemaker:14089:083c31c894aa216fd74d834da269c1ac","Reinhard’s Restaurant"
"1632344","61435","Tip:Filemaker:14093:b2e261476e0ca1073afcda7a11d97f1c","Gugelhof"
"1641150","61435","Tip:Filemaker:14095:41d859d478245e100ab8144fee04557c","Riehmers"
"1642256","61435","Tip:Filemaker:14096:faecb11b773fc923d989e57e463815a4","Schleusenkrug"
"1685294","61435","Tip:Filemaker:14097:607a8e7f28611601667a32896cfabce1","Schollenkrug"
"1681915","61435","Tip:Filemaker:14102:6382b95fc9c68ae884b3f4a0708e45d3","Giraffe"
"1685999","61435","Tip:Filemaker:14104:dc2cbb70936a2eb5b5b61463bb9548a5","Theodor"
"1646097","61435","Tip:Filemaker:14107:86c88595f416fb47581be893e41d4dd3","Weltrestaurant Markthalle"
"1646140","61435","Tip:Filemaker:14108:b4e114145fc2e80ead687f48828ee315","Weyers"
"1629445","61435","Tip:Filemaker:14109:2680eb0bf451071e0de55c8138acd6a6","Die Feinbäckerei"
"1627894","61435","Tip:Filemaker:14111:f641bdbe28aac9fd831581fc6078cb4b","Zillemarkt"
"1624091","61435","Tip:Filemaker:14112:b947bc9a53d8f7dd78c92151d5010194","Alter Fritz"
"1624258","61435","Tip:Filemaker:14115:3640621ee1d2ff1d57a98b1c9b428f2c","Ana e Bruno"
"1785924","61435","Tip:Filemaker:14116:fa92c3af448e0b912eec3e18f6179dc1","Au Lac"
"1626482","61435","Tip:Filemaker:14118:0f43938a6a7fde5cdfc19bcad358586d","Borchardt"
"1637630","61435","Tip:Filemaker:14122:cc4bfe3afb12419f77a77b9cfda48140","Maxwells"
"1681944","61435","Tip:Filemaker:14125:29fc258ceab02c9efe17affc461a1d01","Remise"
"1679517","61435","Tip:Filemaker:14132:e14d4163f125e84efbdd1dcd6000d45d","Angkor Wat"
